index,Disney,Paramount,AppleTV,Netflix,hulu,HBO,YoutubeTV,PrimeVideo,Peacock
2023-05-26,69,81,3,86,21,85,0,67,0
2023-05-27,73,82,3,90,38,87,83,69,29
2023-05-28,76,100,2,91,0,100,0,70,0
2023-05-29,51,52,1,53,52,56,0,41,64
2023-05-30,48,54,2,47,39,41,0,33,0
2023-05-31,48,41,2,47,22,48,0,33,20
2023-06-01,41,55,1,48,23,40,0,33,0
2023-06-02,45,42,2,54,14,47,0,38,0
2023-06-03,65,61,2,81,47,75,0,56,36
2023-06-04,73,94,5,100,0,88,43,71,44
2023-06-05,53,48,3,59,0,51,82,42,30
2023-06-06,45,41,1,53,20,46,0,38,21
2023-06-07,46,40,2,50,0,41,0,38,0
2023-06-08,50,47,3,52,21,35,36,51,0
2023-06-09,49,55,3,55,33,45,0,61,59
2023-06-10,69,78,5,81,0,66,0,84,0
2023-06-11,91,84,4,93,0,88,0,100,0
2023-06-12,50,50,3,56,64,48,0,56,21
2023-06-13,49,46,2,53,0,46,32,50,0
2023-06-14,50,29,2,50,0,48,0,47,0
2023-06-15,52,40,2,50,0,42,0,49,0
2023-06-16,60,44,2,57,0,43,0,52,0
2023-06-17,74,60,3,84,37,68,0,72,46
2023-06-18,86,67,3,95,0,83,0,94,62
2023-06-19,89,78,3,100,25,91,74,97,0
2023-06-20,86,89,3,94,0,81,0,88,41
2023-06-21,57,41,2,56,20,44,0,53,0
2023-06-22,54,45,1,52,38,45,0,49,0
2023-06-23,53,52,2,53,44,46,0,56,0
2023-06-24,68,81,3,77,44,70,0,82,84
2023-06-25,73,85,3,85,33,78,0,86,0
2023-06-26,52,52,1,50,22,47,0,52,20
2023-06-27,57,48,2,46,47,42,0,52,24
2023-06-28,54,47,1,44,21,41,0,48,88
2023-06-29,51,42,2,46,15,37,29,43,0
2023-06-30,57,48,2,48,31,44,0,50,25
2023-07-01,72,53,2,68,0,62,0,68,0
2023-07-02,80,80,4,83,0,74,100,88,100
2023-07-03,54,45,2,47,58,46,0,47,25
2023-07-04,53,45,3,47,51,40,0,48,41
2023-07-05,53,48,2,42,0,40,0,43,0
2023-07-06,48,34,1,42,0,42,0,43,56
2023-07-07,57,59,3,51,25,51,0,49,0
2023-07-08,71,65,4,73,0,76,0,71,0
2023-07-09,81,80,3,84,63,83,0,94,68
2023-07-10,60,46,2,53,0,53,0,54,58
2023-07-11,61,41,3,53,62,48,0,48,43
2023-07-12,70,54,3,59,15,60,0,57,34
2023-07-13,68,55,2,56,0,52,0,50,0
2023-07-14,72,60,3,56,17,58,0,59,26
2023-07-15,76,72,7,69,0,74,48,75,0
2023-07-16,100,94,34,90,61,97,0,91,45
2023-07-17,81,68,19,62,0,64,66,71,25
2023-07-18,77,57,7,60,48,56,0,60,0
2023-07-19,70,69,8,58,0,62,0,64,47
2023-07-20,62,47,9,51,26,52,0,52,42
2023-07-21,64,57,64,50,0,55,0,52,94
2023-07-22,75,57,100,70,52,70,0,72,53
2023-07-23,87,95,13,88,0,95,0,88,0
2023-07-24,64,64,8,57,23,59,0,61,32
2023-07-25,66,60,50,55,0,56,0,61,0
2023-07-26,61,50,50,53,37,50,0,53,33
2023-07-27,63,69,7,52,0,54,0,56,0
2023-07-28,63,64,7,54,42,47,0,58,0
2023-07-29,66,65,7,68,18,61,0,69,45
2023-07-30,75,98,8,85,34,83,0,86,0
2023-07-31,49,38,3,48,16,44,53,47,52
2023-08-01,47,50,5,42,56,50,65,40,25
2023-08-02,42,29,13,39,53,36,0,34,0
2023-08-03,46,46,28,43,0,41,0,41,70
2023-08-04,55,45,4,48,21,46,0,42,0
2023-08-05,71,60,5,77,33,65,0,70,0
2023-08-06,74,73,21,84,28,83,0,82,37
2023-08-07,50,48,36,44,0,44,47,45,45
2023-08-08,49,42,5,44,28,43,0,41,41
2023-08-09,44,45,4,39,0,40,0,37,72
